Date_time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Day sin,Day cos,Year sin,Year cos
2004-03-12 07:00:00,1.4,1091.0,4.4,730.0,109.0,1387.0,1361.0,748.0,6.4,65.1,0.6316,0.9659258262904679,-0.25881904509729736,0.9398530930926978,0.34157892704920884
2004-03-12 08:00:00,4.4,1587.0,17.9,1236.0,307.0,897.0,1900.0,1400.0,7.3,63.1,0.6499,0.8660254037897814,-0.49999999999074607,0.9400976893900014,0.3409051692239067
2004-03-12 09:00:00,0.0,1545.0,22.1,1353.0,0.0,767.0,2058.0,1588.0,9.2,56.2,0.6561,0.7071067811875456,-0.7071067811855496,0.940341802686776,0.34023123624938445
2004-03-12 10:00:00,3.1,1350.0,14.0,1118.0,187.0,912.0,1712.0,1237.0,13.2,41.7,0.632,0.500000000005793,-0.8660254037810939,0.9405854328576018,0.33955712847189334
2004-03-12 11:00:00,2.7,1263.0,11.6,1037.0,216.0,969.0,1598.0,1167.0,14.3,38.4,0.6243,0.25881904510002407,-0.9659258262897372,0.9408285797773072,0.3388828462377745
2004-03-12 12:00:00,2.1,1206.0,10.2,986.0,143.0,1035.0,1537.0,959.0,15.0,36.5,0.6195,2.693115730673722e-12,-1.0,0.9410712433209786,0.33820838989343177
2004-03-12 13:00:00,2.5,1252.0,11.0,1016.0,160.0,1008.0,1593.0,983.0,16.1,34.5,0.6262,-0.2588190450948214,-0.9659258262911313,0.9413134233639217,0.3375337597854388
2004-03-12 14:00:00,2.7,1287.0,12.8,1078.0,163.0,949.0,1660.0,1061.0,16.3,35.7,0.656,-0.5000000000011285,-0.8660254037837871,0.9415551197817197,0.33685895626037826
2004-03-12 15:00:00,2.9,1353.0,14.2,1122.0,190.0,922.0,1740.0,1139.0,15.8,37.0,0.661,-0.7071067811837369,-0.7071067811893581,0.9417963324501946,0.3361839796649486
2004-03-12 16:00:00,2.8,1309.0,12.7,1073.0,178.0,954.0,1657.0,1112.0,15.9,37.2,0.6657,-0.8660254037798123,-0.500000000008013,0.9420370612454168,0.33550883034593726
2004-03-12 17:00:00,2.4,1274.0,11.7,1041.0,150.0,1006.0,1610.0,994.0,16.9,34.3,0.6549,-0.9659258262890739,-0.2588190451025001,0.9422773060437053,0.3348335086502205
2004-03-12 18:00:00,3.9,1510.0,19.3,1277.0,206.0,812.0,1910.0,1410.0,15.1,39.6,0.6766,-1.0,-5.2564598822682405e-12,0.942517066721628,0.3341580149247629
2004-03-12 19:00:00,3.7,1525.0,18.2,1246.0,202.0,821.0,1847.0,1448.0,14.4,43.4,0.7084,-0.9659258262917948,0.2588190450923454,0.942756343156011,0.33348234951659084
2004-03-12 20:00:00,6.6,1843.0,32.6,1610.0,340.0,624.0,2390.0,1887.0,12.9,50.5,0.7478,-0.8660254037850688,0.4999999999989086,0.9429951352239003,0.33280651277289924
2004-03-12 21:00:00,4.4,1598.0,20.1,1299.0,274.0,752.0,1941.0,1627.0,12.1,53.3,0.7536,-0.7071067811911708,0.7071067811819243,0.9432334428026198,0.3321305050408906
2004-03-12 22:00:00,3.5,1484.0,14.3,1127.0,253.0,839.0,1723.0,1491.0,11.0,59.1,0.774,-0.4999999999976307,0.8660254037858066,0.9434712657697323,0.33145432666788216
2004-03-12 23:00:00,5.4,1677.0,21.8,1346.0,300.0,741.0,2062.0,1657.0,9.7,64.6,0.7771,-0.2588190451049761,0.9659258262884104,0.94370860400305,0.3307779780012788
2004-03-13 00:00:00,2.7,1280.0,9.6,964.0,193.0,963.0,1544.0,1285.0,9.5,64.1,0.7597,-7.81980403386276e-12,1.0,0.9439454573806341,0.3301014593885728
2004-03-13 01:00:00,1.9,1196.0,7.4,873.0,139.0,1071.0,1463.0,1144.0,9.1,63.9,0.7423,0.25881904510392545,0.965925826288692,0.9441818257807945,0.3294247711773439
2004-03-13 02:00:00,1.6,1184.0,5.4,782.0,83.0,1176.0,1365.0,1043.0,8.8,63.9,0.7256,0.4999999999966886,0.8660254037863505,0.9444177090821001,0.3287479137152321
2004-03-13 03:00:00,1.7,1172.0,5.4,783.0,0.0,1179.0,1380.0,996.0,7.8,67.5,0.7173,0.7071067811801117,0.7071067811929832,0.9446531071633408,0.3280708873500448
2004-03-13 04:00:00,0.0,1147.0,6.2,821.0,109.0,1132.0,1412.0,992.0,7.0,71.1,0.7158,0.866025403784525,0.49999999999985056,0.9448880199035837,0.32739369242959565
2004-03-13 05:00:00,1.0,978.0,2.6,625.0,62.0,1420.0,1274.0,819.0,8.3,63.6,0.6982,0.9659258262877469,0.2588190451074521,0.9451224471821363,0.3267163293018119
2004-03-13 06:00:00,1.2,1100.0,2.9,646.0,53.0,1406.0,1268.0,835.0,7.2,67.5,0.6887,1.0,1.0383148185457278e-11,0.945356388878555,0.32603879831470706
2004-03-13 07:00:00,1.5,1112.0,5.1,770.0,139.0,1228.0,1409.0,940.0,6.3,71.9,0.6932,0.9659258262893553,-0.2588190451014495,0.9455898448726462,0.32536109981638095
2004-03-13 08:00:00,2.7,1336.0,11.8,1043.0,256.0,935.0,1678.0,1192.0,6.5,71.6,0.6945,0.8660254037876322,-0.49999999999446876,0.9458228150444653,0.3246832341550194
2004-03-13 09:00:00,3.7,1408.0,15.1,1153.0,295.0,830.0,1777.0,1411.0,9.6,59.7,0.7124,0.7071067811845061,-0.7071067811885889,0.9460552992743271,0.3240052016788673
2004-03-13 10:00:00,3.2,1447.0,12.9,1081.0,250.0,869.0,1667.0,1465.0,12.4,51.2,0.7335,0.5000000000020705,-0.8660254037832432,0.9462872974427678,0.32332700273633597
2004-03-13 11:00:00,4.1,1542.0,16.1,1184.0,296.0,808.0,1780.0,1583.0,15.6,42.2,0.7451,0.2588190451099281,-0.9659258262870835,0.9465188094306016,0.3226486376758414
2004-03-13 12:00:00,3.6,1451.0,14.0,1117.0,239.0,875.0,1679.0,1387.0,18.4,33.8,0.709,-1.6054228913150548e-12,-1.0,0.9467498351188829,0.321970106845912
2004-03-13 13:00:00,2.8,1328.0,12.3,1059.0,153.0,987.0,1600.0,1101.0,19.4,31.3,0.695,-0.25881904509897347,-0.9659258262900188,0.946980374388916,0.3212914105951612
2004-03-13 14:00:00,2.0,1207.0,8.6,924.0,118.0,1088.0,1488.0,850.0,18.0,34.8,0.7127,-0.49999999999224876,-0.8660254037889138,0.9472104271222551,0.32061254927228755
2004-03-13 15:00:00,2.0,1240.0,9.2,947.0,119.0,1049.0,1532.0,947.0,18.4,33.6,0.7042,-0.7071067811867764,-0.7071067811863186,0.9474399932007045,0.3199335232260743
2004-03-13 16:00:00,2.5,1306.0,10.2,987.0,138.0,1004.0,1554.0,1078.0,17.6,35.1,0.7012,-0.8660254037819616,-0.5000000000042903,0.9476690725063274,0.3192543328053626
2004-03-13 17:00:00,2.3,1326.0,10.6,1000.0,148.0,976.0,1602.0,1084.0,16.7,37.8,0.7117,-0.9659258262864201,-0.25881904511240406,0.94789766492141,0.3185749783591585
2004-03-13 18:00:00,3.2,1473.0,15.5,1163.0,227.0,831.0,1779.0,1395.0,16.1,41.0,0.7451,-1.0,-9.57921260279464e-13,0.948125770328516,0.31789546023647186
2004-03-13 19:00:00,4.2,1609.0,19.6,1286.0,277.0,758.0,1922.0,1612.0,15.8,42.4,0.7569,-0.9659258262906822,0.2588190450964975,0.9483533886104498,0.3172157787864234
2004-03-13 20:00:00,4.2,1611.0,19.2,1274.0,279.0,754.0,1915.0,1697.0,15.7,44.1,0.7786,-0.8660254037901954,0.4999999999900289,0.9485805196502667,0.31653593435821775
2004-03-13 21:00:00,4.2,1621.0,18.3,1247.0,283.0,762.0,1860.0,1886.0,15.3,46.8,0.8091,-0.7071067811881312,0.7071067811849638,0.9488071633312719,0.3158559273011433
2004-03-13 22:00:00,3.1,1444.0,13.1,1089.0,214.0,844.0,1748.0,1624.0,14.6,48.6,0.806,-0.5000000000065103,0.8660254037806799,0.949033319537021,0.31517575796457215
2004-03-13 23:00:00,2.6,1418.0,10.9,1010.0,172.0,892.0,1603.0,1536.0,14.7,49.3,0.8193,-0.258819045100824,0.965925826289523,0.9492589881513293,0.31449542669793246
2004-03-14 00:00:00,2.9,1534.0,11.0,1013.0,190.0,889.0,1611.0,1535.0,13.9,53.6,0.8498,-3.5212654118739828e-12,1.0,0.9494841690582353,0.3138149338508168
2004-03-14 01:00:00,2.8,1484.0,11.9,1045.0,174.0,880.0,1624.0,1530.0,14.6,51.5,0.8536,0.2588190450940215,0.9659258262913457,0.9497088621420553,0.3131342797728198
2004-03-14 02:00:00,2.5,1367.0,8.6,925.0,128.0,953.0,1543.0,1337.0,12.5,58.9,0.8537,0.5000000000004112,0.8660254037842012,0.9499330672873473,0.3124534648136458
2004-03-14 03:00:00,2.4,1344.0,9.7,968.0,0.0,921.0,1620.0,1278.0,11.6,63.4,0.8674,0.7071067811831513,0.7071067811899437,0.9501567843789197,0.3117724893230817
2004-03-14 04:00:00,0.0,1130.0,5.2,773.0,70.0,1130.0,1452.0,1051.0,12.1,61.1,0.8603,0.8660254037793983,0.5000000000087302,0.9503800133018319,0.3110913536509972
2004-03-14 05:00:00,1.2,1062.0,3.7,691.0,53.0,1272.0,1377.0,929.0,11.5,63.1,0.8533,0.9659258262888595,0.25881904510330006,0.950602753941394,0.31041005814734407
2004-03-14 06:00:00,1.0,1076.0,2.5,618.0,44.0,1395.0,1333.0,872.0,11.6,62.2,0.8473,1.0,6.084609563468501e-12,0.9508250061831758,0.30972860316212913
2004-03-14 07:00:00,0.9,1028.0,2.4,615.0,74.0,1384.0,1340.0,853.0,10.4,67.6,0.853,0.9659258262920091,-0.2588190450915454,0.9510467699129717,0.3090469890455224
2004-03-14 08:00:00,1.4,1155.0,4.2,722.0,101.0,1225.0,1414.0,959.0,11.6,62.7,0.853,0.8660254037854829,-0.4999999999981914,0.9512680450168531,0.3083652161476944
2004-03-14 09:00:00,1.6,1235.0,6.4,828.0,118.0,1055.0,1527.0,1093.0,12.4,60.0,0.8627,0.7071067811917563,-0.7071067811813387,0.9514888313811343,0.3076832848189244
2004-03-14 10:00:00,2.2,1332.0,8.6,923.0,144.0,952.0,1614.0,1225.0,14.5,53.1,0.8728,0.4999999999983478,-0.8660254037853925,0.9517091288923802,0.30700119540957294
2004-03-14 11:00:00,2.8,1445.0,10.9,1009.0,176.0,878.0,1696.0,1355.0,16.9,46.1,0.8789,0.258819045105776,-0.965925826288196,0.9519289374374071,0.3063189482700819
2004-03-14 12:00:00,2.8,1416.0,10.7,1002.0,161.0,907.0,1677.0,1262.0,19.3,38.3,0.8474,8.64795371506302e-12,-1.0,0.9521482569032823,0.3056365437509741
2004-03-14 13:00:00,2.0,1281.0,7.5,880.0,113.0,1084.0,1525.0,980.0,21.2,31.4,0.7812,-0.25881904510312553,-0.9659258262889062,0.9523670871773333,0.30495398220282616
2004-03-14 14:00:00,1.8,1207.0,7.5,879.0,103.0,1104.0,1490.0,872.0,21.4,30.2,0.7616,-0.49999999999597144,-0.8660254037867645,0.9525854281471128,0.30427126397637666
2004-03-14 15:00:00,1.9,1258.0,8.2,906.0,112.0,1081.0,1511.0,900.0,21.9,29.0,0.7525,-0.7071067811795262,-0.7071067811935688,0.9528032797004508,0.30358838942236344
2004-03-14 16:00:00,3.0,1458.0,11.9,1045.0,170.0,974.0,1646.0,1099.0,22.2,28.4,0.7516,-0.8660254037841109,-0.5000000000005677,0.9530206417254202,0.30290535889163167
2004-03-14 17:00:00,2.9,1438.0,12.0,1051.0,180.0,943.0,1668.0,1206.0,21.3,30.8,0.7696,-0.9659258262875325,-0.25881904510825204,0.9532375141103456,0.3022221727351067
2004-03-14 18:00:00,2.5,1478.0,12.2,1055.0,160.0,929.0,1671.0,1262.0,19.7,36.7,0.8307,-1.0,-1.1211297866657539e-11,0.9534538967438028,0.3015388313037939
2004-03-14 19:00:00,4.6,1808.0,20.6,1312.0,261.0,753.0,1993.0,1698.0,18.4,41.7,0.8732,-0.9659258262895697,0.2588190451006495,0.9536697895146193,0.30085533494877825
2004-03-14 20:00:00,5.9,1898.0,23.1,1381.0,325.0,681.0,2103.0,1905.0,17.6,46.1,0.921,-0.8660254037880462,0.49999999999375155,0.9538851923118832,0.30017168402119737
2004-03-14 21:00:00,3.4,1560.0,14.7,1140.0,217.0,784.0,1818.0,1648.0,16.7,49.6,0.932,-0.7071067811850916,0.7071067811880034,0.9541001050249083,0.2994878788723495
2004-03-14 22:00:00,2.1,1324.0,9.0,940.0,146.0,924.0,1587.0,1423.0,16.3,51.0,0.9341,-0.5000000000027877,0.8660254037828292,0.9543145275432857,0.298803919853531
2004-03-14 23:00:00,2.2,1349.0,8.8,933.0,152.0,933.0,1617.0,1349.0,14.7,55.9,0.9314,-0.258819045110728,0.9659258262868692,0.9545284597568504,0.2981198073161441
2004-03-15 00:00:00,1.8,1239.0,7.4,872.0,104.0,985.0,1547.0,1250.0,14.8,54.7,0.9164,7.772732101147938e-13,1.0,0.9547419015556887,0.29743554161167024
2004-03-15 01:00:00,1.8,1239.0,6.9,853.0,106.0,1010.0,1543.0,1174.0,14.0,57.0,0.9094,0.2588190450981735,0.9659258262902332,0.9549548528301393,0.2967511230916692
2004-03-15 02:00:00,1.8,1224.0,7.0,855.0,108.0,998.0,1566.0,1149.0,13.4,61.3,0.9361,0.4999999999915316,0.8660254037893279,0.9551673134707926,0.2960665521077795
2004-03-15 03:00:00,1.1,1078.0,4.4,734.0,0.0,1128.0,1487.0,1021.0,12.6,63.5,0.923,0.7071067811861909,0.7071067811869042,0.9553792833684999,0.29538182901169074
2004-03-15 04:00:00,0.0,1078.0,4.0,711.0,66.0,1150.0,1468.0,1013.0,12.3,65.4,0.9351,0.8660254037815476,0.5000000000050075,0.9555907624143387,0.29469695415525227
2004-03-15 05:00:00,1.0,1075.0,3.9,703.0,88.0,1156.0,1464.0,1010.0,11.9,67.4,0.9375,0.9659258262862057,0.258819045113204,0.9558017504996646,0.2940119278903098
2004-03-15 06:00:00,1.4,1157.0,6.4,830.0,138.0,1030.0,1584.0,1083.0,11.4,70.5,0.9475,1.0,1.7860709414797249e-12,0.9560122475160769,0.2933267505688141
2004-03-15 07:00:00,2.2,1314.0,9.7,966.0,228.0,897.0,1710.0,1235.0,11.3,70.2,0.9401,0.9659258262908965,-0.25881904509569753,0.956222253355427,0.29264142254279335
2004-03-15 08:00:00,5.5,1797.0,25.9,1451.0,360.0,652.0,2323.0,1680.0,12.4,63.9,0.917,0.8660254037833336,-0.500000000001914,0.9564317679098185,0.2919559441643534
2004-03-15 09:00:00,8.1,1961.0,36.7,1701.0,478.0,537.0,2665.0,2184.0,14.8,54.3,0.9076,0.7071067811887167,-0.7071067811843783,0.9566407910716079,0.29127031578567725
2004-03-15 10:00:00,5.8,1771.0,26.6,1470.0,394.0,622.0,2262.0,1973.0,17.4,45.6,0.8993,0.5000000000072276,-0.8660254037802658,0.9568493227334122,0.29058453775899773
2004-03-15 11:00:00,4.2,1564.0,20.1,1300.0,319.0,710.0,2029.0,1798.0,19.8,38.5,0.8801,0.25881904510162396,-0.9659258262893086,0.957057362788076,0.28989861043670617
2004-03-15 12:00:00,3.1,1430.0,14.1,1120.0,201.0,831.0,1783.0,1522.0,22.0,34.1,0.8904,4.3494150930742436e-12,-1.0,0.9572649111287214,0.2892125341711891
2004-03-15 13:00:00,2.9,1417.0,14.9,1146.0,171.0,830.0,1831.0,1404.0,23.3,32.2,0.9096,-0.2588190450932215,-0.96592582629156,0.9574719676487148,0.28852630931493656
2004-03-15 14:00:00,2.9,1400.0,15.4,1162.0,159.0,838.0,1829.0,1263.0,23.9,30.0,0.8757,-0.49999999999969413,-0.8660254037846152,0.9576785322416754,0.2878399362205152
2004-03-15 15:00:00,2.5,1317.0,12.1,1053.0,153.0,926.0,1707.0,1137.0,24.4,28.9,0.8736,-0.7071067811825658,-0.7071067811905294,0.9578846048014751,0.28715341524056764
2004-03-15 16:00:00,2.3,1318.0,11.5,1033.0,143.0,950.0,1675.0,1068.0,24.4,29.4,0.8848,-0.8660254037789842,-0.5000000000094474,0.9580901852222385,0.2864667467278125
2004-03-15 17:00:00,2.8,1445.0,14.8,1141.0,156.0,857.0,1824.0,1252.0,23.8,31.3,0.9137,-0.9659258262886452,-0.2588190451040999,0.9582952733983513,0.28577993103501714
2004-03-15 18:00:00,6.1,1917.0,32.1,1601.0,314.0,631.0,2447.0,1843.0,22.5,35.4,0.9547,-1.0,-6.912759244668763e-12,0.9584998692244275,0.28509296851510596
2004-03-15 19:00:00,8.0,2040.0,39.2,1754.0,404.0,542.0,2679.0,2122.0,20.4,42.5,1.0086,-0.9659258262884571,0.2588190451048016,0.958703972595359,0.2844058595209973
2004-03-15 20:00:00,6.5,1895.0,31.0,1573.0,320.0,565.0,2443.0,1992.0,18.3,52.6,1.0945,-0.866025403785897,0.49999999999747413,0.9589075834062817,0.28371860440571195
2004-03-15 21:00:00,4.2,1595.0,19.9,1294.0,256.0,678.0,2058.0,1707.0,16.7,57.4,1.0786,-0.7071067811923418,0.7071067811807532,0.9591107015525854,0.2830312035223457
2004-03-15 22:00:00,3.2,1439.0,15.3,1159.0,193.0,764.0,1856.0,1494.0,15.7,60.2,1.0654,-0.499999999999065,0.8660254037849785,0.9593133269299126,0.2823436572240693
2004-03-15 23:00:00,1.4,1142.0,6.9,852.0,89.0,1008.0,1547.0,1164.0,15.3,61.4,1.058,-0.25881904510657594,0.9659258262879817,0.959515459434159,0.28165596586412817
2004-03-16 00:00:00,2.1,1304.0,11.1,1019.0,127.0,852.0,1731.0,1272.0,14.1,65.7,1.0494,-9.476103396263281e-12,1.0,0.9597170989614815,0.28096812979581504
2004-03-16 01:00:00,1.2,1074.0,5.4,784.0,79.0,1098.0,1483.0,1040.0,14.8,60.6,1.0148,0.2588190451023256,0.9659258262891206,0.9599182454082664,0.28028014937257884
2004-03-16 02:00:00,0.8,968.0,2.8,640.0,43.0,1320.0,1386.0,867.0,14.8,59.2,0.9879,0.4999999999952543,0.8660254037871786,0.9601188986711775,0.2795920249478607
2004-03-16 03:00:00,0.7,929.0,2.3,608.0,0.0,1376.0,1364.0,826.0,13.6,62.1,0.9636,0.7071067811789407,0.7071067811941545,0.9603190586471236,0.278903756875203
2004-03-16 04:00:00,0.0,941.0,2.6,626.0,59.0,1316.0,1373.0,840.0,12.3,66.2,0.945,0.8660254037836967,0.500000000001285,0.9605187252332671,0.27821534550822224
2004-03-16 05:00:00,0.6,937.0,2.0,585.0,38.0,1412.0,1348.0,793.0,12.8,63.2,0.9283,0.9659258262873183,0.2588190451090519,0.960717898327024,0.2775267912006082
2004-03-16 06:00:00,0.9,1017.0,3.5,681.0,82.0,1246.0,1418.0,870.0,11.2,68.5,0.9081,1.0,-2.5124676805090515e-12,0.9609165778260637,0.2768380943061242
2004-03-16 07:00:00,1.3,1171.0,5.1,770.0,99.0,1162.0,1467.0,930.0,11.0,66.5,0.8705,0.9659258262897841,-0.2588190450998496,0.961114763628317,0.2761492551785796
2004-03-16 08:00:00,3.4,1541.0,16.2,1185.0,263.0,770.0,1889.0,1407.0,11.7,63.7,0.8719,0.8660254037884603,-0.4999999999930343,0.9613124556319451,0.2754602741719385
2004-03-16 09:00:00,3.7,1539.0,19.7,1287.0,229.0,698.0,2055.0,1507.0,13.6,56.3,0.8743,0.7071067811856772,-0.7071067811874179,0.9615096537353861,0.2747711516401564
2004-03-16 10:00:00,5.3,1735.0,25.1,1431.0,396.0,628.0,2211.0,1843.0,17.8,42.9,0.8672,0.5000000000035049,-0.8660254037824151,0.9617063578373243,0.27408188793728844
2004-03-16 11:00:00,4.1,1571.0,20.0,1297.0,314.0,730.0,1973.0,1729.0,21.4,33.3,0.8417,0.258819045111528,-0.9659258262866548,0.9619025678366976,0.2733924834174625
2004-03-16 12:00:00,3.3,1452.0,18.3,1250.0,217.0,776.0,1868.0,1583.0,24.4,27.4,0.8231,5.0876471085467094e-14,-1.0,0.9620982836326977,0.2727029384348786
2004-03-16 13:00:00,4.0,1579.0,22.3,1359.0,252.0,724.0,1998.0,1671.0,25.3,26.1,0.8264,-0.2588190450973736,-0.9659258262904474,0.9622935051247705,0.27201325334380916
2004-03-16 14:00:00,3.8,1466.0,20.4,1309.0,263.0,773.0,1897.0,1491.0,25.8,23.2,0.7589,-0.49999999999081446,-0.8660254037897419,0.9624882322126234,0.27132342849857116
